Obs#	year	month	day	SO2	NO2	Dust	Admission
637	95	9	29	7.29	45.11	57.16	280
638	95	9	30	6.86	45.34	36.2	286
639	95	10	1	6.8	41.4	44.4	258
640	95	10	2	3.26	23.47	19.59	244
641	95	10	3	2.74	19.82	28.71	216
642	95	10	4	10.08	29.68	30.8	306
643	95	10	5	10.48	39.01	24.76	257
644	95	10	6	10.84	46.34	31.93	264
645	95	10	7	8.65	41.15	29.68	239
646	95	10	8	9.53	43.78	37.07	214
647	95	10	9	11.64	43.33	44.35	265
648	95	10	10	10.62	43.48	48.25	292
649	95	10	11	7.38	41.01	43.23	252
650	95	10	12	7.17	43.02	47.64	259
651	95	10	13	6.81	41.41	45.55	270
652	95	10	14	10.04	49.74	40.73	222
653	95	10	15	8.21	49.55	29.42	252
654	95	10	16	10.07	52.59	61.57	332
655	95	10	17	10.07	47.1	60.98	239
656	95	10	18	22.47	66.55	68.42	278
657	95	10	19	18.24	73.26	72.95	256
658	95	10	20	13.41	68.34	66.15	244
659	95	10	21	11.36	62.45	58.44	236
660	95	10	22	9.16	47.89	50.95	219
661	95	10	23	13.33	63.29	58.14	320
662	95	10	24	9.8	51.56	69.66	329
663	95	10	25	8.92	48.09	46.32	281
664	95	10	26	10.86	50.15	61.66	322
665	95	10	27	12.1	57.87	68.22	274
666	95	10	28	19.01	76.69	73.65	220
667	95	10	29	14.78	72.72	67.3	251
668	95	10	30	16.5	75.12	73.02	335
669	95	10	31	18.88	68.36	92.26	270
670	95	11	1	13.63	57.09	118.87	200
671	95	11	2	17.99	70.68	130.53	295
672	95	11	3	20.5	80.13	109.88	275
673	95	11	4	19.09	75.86	95.33	267
674	95	11	5	15.13	57.16	74.43	246
675	95	11	6	17.55	59.39	68.24	320
676	95	11	7	11.61	52.19	59.72	292
677	95	11	8	18.36	65.61	118.82	326
678	95	11	9	21.57	80.37	128.36	308
679	95	11	10	27.76	93.31	95.53	289
680	95	11	11	18.12	74.73	89.33	249
681	95	11	12	13.27	67.51	80.33	249
682	95	11	13	22.36	81.66	72.82	334
683	95	11	14	14.64	61.12	76.67	292
684	95	11	15	12.84	54.65	63.53	291
685	95	11	16	15.31	69.1	53.56	330
686	95	11	17	15.79	76.94	45.7	321
687	95	11	18	12.59	65.64	50.19	273
688	95	11	19	14.31	58.33	59.88	271
689	95	11	20	21.89	70.77	110.53	341
690	95	11	21	19.83	69.51	115.5	337
691	95	11	22	33.04	98.09	142.37	274
692	95	11	23	14.96	51.36	84.93	282
693	95	11	24	15.1	58.53	72.23	272
694	95	11	25	19.59	86.83	60.24	248
695	95	11	26	17.14	96.67	73.87	275
696	95	11	27	14.69	82	65.48	380
697	95	11	28	15.1	68.86	77.12	348
698	95	11	29	16.49	71.53	84.01	323
699	95	11	30	13.71	72.22	56.36	327
700	95	12	1	10.8	61.67	69	287
701	95	12	2	14.75	74.28	92.22	245
702	95	12	3	15.26	69.54	106.99	256
703	95	12	4	20.06	70.35	105.41	327
704	95	12	5	23.43	70.22	122.86	311
705	95	12	6	20.86	64.53	101.77	312
706	95	12	7	20.02	71	84.28	317
707	95	12	8	23.92	78.67	78.18	273
708	95	12	9	22.87	86.54	90.28	239
709	95	12	10	9.82	61.18	48.95	277
710	95	12	11	24.78	88.3	63.81	357
711	95	12	12	27.72	97.68	75.21	366
712	95	12	13	19.89	80.62	65.44	362
713	95	12	14	21.82	82.23	88.58	326
714	95	12	15	7.99	59.31	48.36	316
715	95	12	16	9.13	59.51	74.87	238
716	95	12	17	9.36	48.84	52.6	259
717	95	12	18	11.16	47.15	37.66	313
718	95	12	19	20.29	60.06	48.03	293
719	95	12	20	15.27	65.71	63.53	305
720	95	12	21	14.25	55.08	57.7	295
721	95	12	22	25.56	76.2	79.17	271
722	95	12	23	26.43	77.71	85.3	242
723	95	12	24	17.6	67.65	90.61	213
724	95	12	25	23.37	72.11	115.12	213
725	95	12	26	20.51	64.12	94.89	238
726	95	12	27	20.13	73.4	76.17	340
727	95	12	28	18.78	67.78	79.92	294
728	95	12	29	19.72	68.03	73.52	290
729	95	12	30	27.07	79.29	71.96	253
730	95	12	31	33.18	96.27	94	261
